title;main_story_length;mainextra_length;completionist_length;combined_length;platform
7 Grand Steps, Step 1: What Ancients Begat;8;;;;PlayStation 4
7 Mages;;;;;PlayStation 4
7 Sins;10;;;;PlayStation 4
7 Wonders II;6;;;;PlayStation 4
7 Wonders of the Ancient World;7;;;;PlayStation 4
7 Wonders: Ancient Alien Makeover;8;;;;PlayStation 4
7 Wonders: Magical Mystery Tour;7;;;;PlayStation 4
7 Wonders: Treasures of Seven;7;;;;PlayStation 4
7,62 High Calibre;;;;;PlayStation 4
7.62mm;;;;;PlayStation 4
720 Degrees;;;;;PlayStation 4
7554;7;;;;PlayStation 4
7D Game;;;;;PlayStation 4
7th Dragon;35;;;;PlayStation 4
7th Dragon 2020;34;;;;PlayStation 4
7th Dragon 2020-II;;;;;PlayStation 4
7th Dragon III Code: VFD;32;;;;PlayStation 4
7th Legion;;;;;PlayStation 4
8 Ball Pool Multiplayer;;;;;PlayStation 4
8 Eyes;2.5;;;;PlayStation 4
8-Bit Adventures: The Forgotten Journey;;;;;PlayStation 4
8-bit Armies;;;;;PlayStation 4
8-Bit Armies: Arena;;;;;PlayStation 4
8-Bit Bayonetta;0.2833333333333333;;;;PlayStation 4
8-Bit Commando;0.8666666666666667;;;;PlayStation 4
8-bit Hordes;;;;;PlayStation 4
8-Bit Invaders!;25;;;;PlayStation 4
8-Bit Killer;;;;;PlayStation 4
8-bit Mario World - Desert Mario;0.08333333333333333;;;;PlayStation 4
80 Days;3;;;;PlayStation 4
80 Days: Around the World Adventure;8;;;;PlayStation 4
868-HACK;2;;;;PlayStation 4
88 Heroes;;;;;PlayStation 4
8Ball Allstars;;;;;PlayStation 4
8Bit Fiesta;2;;;;PlayStation 4
8BitBoy;4.5;;;;PlayStation 4
8BitMMO;;;;;PlayStation 4
8DAYS;;;;;PlayStation 4
8i;;;;;PlayStation 4
8infinity;;;;;PlayStation 4
9 Clues 2: The Ward;3;;;;PlayStation 4
9 Clues: The Secret of Serpent Creek;2.5;;;;PlayStation 4
9.03m;;;;;PlayStation 4
90 Minute Fever;;;;;PlayStation 4
90 Minutes;;;;;PlayStation 4
911 Operator;8.5;;;;PlayStation 4
99 Levels to Hell;8;;;;PlayStation 4
99 Waves to Die;;;;;PlayStation 4
999: Nine Hours, Nine Persons, Nine Doors;9.5;;;;PlayStation 4
99Vidas;2.5;;;;PlayStation 4
9:05;0.25;;;;PlayStation 4
9th Company: Roots of Terror;4;;;;PlayStation 4
9th Dawn;;;;;PlayStation 4
:the game:;0.4166666666666667;;;;PlayStation 4
A Bastard's Tale;;;;;PlayStation 4
A Bird Story;;;;;PlayStation 4
A Blind Legend;2;;;;PlayStation 4
A Box Full Of Joy;;;;;PlayStation 4
A Boy and His Blob;9;;;;PlayStation 4
A Boy and His Blob: Trouble on Blobolonia;0.8666666666666667;;;;PlayStation 4
A Bug's Life;5.5;;;;PlayStation 4
A Bug's Life (GBC);3;;;;PlayStation 4
A Camp in the Woods;;;;;PlayStation 4
A Chair in a Room: Greenwater;2;;;;PlayStation 4
A City Sleeps;1;;;;PlayStation 4
A Collection of Activision Classic Games for the Atari 2600;;;;;PlayStation 4
A Cosmic Forest;;;;;PlayStation 4
A Dark Room;3.5;;;;PlayStation 4
A Date in the Park;0.6166666666666667;;;;PlayStation 4
A Dead World's Dream;;;;;PlayStation 4
A Demon's Game - Episode 1;;;;;PlayStation 4
A Detective's Novel;1.5;;;;PlayStation 4
A Druid's Duel;13;;;;PlayStation 4
A Duck Has An Adventure;;;;;PlayStation 4
A Fairy Tale;;;;;PlayStation 4
A Family of Grave Diggers;;;;;PlayStation 4
A Farewell to Dragons;;;;;PlayStation 4
A Fistful of Gun;3;;;;PlayStation 4
A Flipping Good Time;;;;;PlayStation 4
A Foretold Affair;4;;;;PlayStation 4
A Game of Changes;;;;;PlayStation 4
A Game of Dwarves;30;;;;PlayStation 4
A Game of Thrones: Genesis;11.5;;;;PlayStation 4
A Girls Fabric Face;;;;;PlayStation 4
A Goddess for Free;0.7166666666666667;;;;PlayStation 4
A Golden Wake;5;;;;PlayStation 4
A Goo Adventure;;;;;PlayStation 4
A Good Snowman is Hard to Build;1.5;;;;PlayStation 4
A Grande Bagunca Espacial - The Big Space Mess;;;;;PlayStation 4
A Hat in Time;8;;;;PlayStation 4
A Healer Only Lives Twice;3;;;;PlayStation 4
A Hole New World;;;;;PlayStation 4
A House of Many Doors;20;;;;PlayStation 4
A Jax;;;;;PlayStation 4
A Kappa's Trail;6;;;;PlayStation 4
A King's Tale: Final Fantasy XV;1.5;;;;PlayStation 4
A Kingdom for Keflings;6;;;;PlayStation 4
A Kiss for the Petals: Remembering How We Met;;;;;PlayStation 4
A Land Fit For Heroes;;;;;PlayStation 4
A Legend of Luca;;;;;PlayStation 4
A Lenda do Heroi;;;;;PlayStation 4
A Little Lily Princess;6.5;;;;PlayStation 4
A Lonely Moon;0.08333333333333333;;;;PlayStation 4
A Long Road Home;;;;;PlayStation 4
A Long Way Home;;;;;PlayStation 4
A Magical High School Girl;;;;;PlayStation 4
A Mind Forever Voyaging;;;;;PlayStation 4
A Mortician's Tale;0.9666666666666667;;;;PlayStation 4
A Mother's Inferno;0.25;;;;PlayStation 4
A Mysterious Thief;;;;;PlayStation 4
A Nation of Wind;;;;;PlayStation 4
A New Beginning;9;;;;PlayStation 4
A New Reckoning;0.25;;;;PlayStation 4
A Nightmare on Elm Street;2;;;;PlayStation 4
A Noble Circle;0.25;;;;PlayStation 4
A Normal Lost Phone;1.5;;;;PlayStation 4
A Number's life;;;;;PlayStation 4
A Pixel Story;;;;;PlayStation 4
A Princess' Tale;;;;;PlayStation 4
A Quiver of Crows;;;;;PlayStation 4
A Robot Named Fight!;;;;;PlayStation 4
A Rose in the Twilight;;;;;PlayStation 4
A Second Face;2.5;;;;PlayStation 4
A Sirius Game;;;;;PlayStation 4
A Sound of Thunder;4;;;;PlayStation 4
A Space Shooter For Two Bucks!;5.5;;;;PlayStation 4
A Step Into Darkness;;;;;PlayStation 4
A Story About My Uncle;3;;;;PlayStation 4
A Stroke of Fate: Operation Bunker;;;;;PlayStation 4
A Stroke of Fate: Operation Valkyrie;7;;;;PlayStation 4
A Study in Steampunk: Choice by Gaslight;;;;;PlayStation 4
A Sweet Meeting;;;;;PlayStation 4
A tale about life, death and a looser;;;;;PlayStation 4
A Tale of Caos: Overture;;;;;PlayStation 4
A Tale of Two Kingdoms;;;;;PlayStation 4
A Trip to Yugoslavia;;;;;PlayStation 4
A Truth to be Told;;;;;PlayStation 4
A Valley Without Wind;16.5;;;;PlayStation 4
A Valley Without Wind 2;9.5;;;;PlayStation 4
A Vampyre Story;7.5;;;;PlayStation 4
A Verdant Hue;;;;;PlayStation 4
A Virus Named Tom;4;;;;PlayStation 4
A Walk in the Dark;3;;;;PlayStation 4
A Way Out;;;;;PlayStation 4
A Week of Circus Terror;;;;;PlayStation 4
A Week of Garfield;1.5;;;;PlayStation 4
A Wild Catgirl Appears!;0.95;;;;PlayStation 4
A Wise Use of Time;5;;;;PlayStation 4
A Witch's Tale;16;;;;PlayStation 4
A Wizard's Lizard;1.5;;;;PlayStation 4
A Wizard's Odyssey;;;;;PlayStation 4
A Wolf in Autumn;0.6666666666666666;;;;PlayStation 4
A World of Keflings;7;;;;PlayStation 4
A World of Keflings - It Came From Outer Space;;;;;PlayStation 4
A World of Keflings - Sugar, Spice and Not So Nice;;;;;PlayStation 4
A World of Keflings - The Curse of the Zombiesaurus;;;;;PlayStation 4
A*M*E*R*I*C*A;;;;;PlayStation 4
A-10 Tank Killer;;;;;PlayStation 4
A-10 VR;;;;;PlayStation 4
A-Gents;;;;;PlayStation 4
A-Men;9;;;;PlayStation 4
A-Men 2;14;;;;PlayStation 4
A-Train;;;;;PlayStation 4
A-Train 3D: City Simulator;;;;;PlayStation 4
A-Train 6;;;;;PlayStation 4
A-Train 8;;;;;PlayStation 4
A-Train 9;;;;;PlayStation 4
A-Train 9 V4.0: Japan Rail Simulator;;;;;PlayStation 4
A-Train HX;;;;;PlayStation 4
A.D. 2044;;;;;PlayStation 4
A.I. Invasion;;;;;PlayStation 4
A.I. Space Corps;;;;;PlayStation 4
A.I.M. Racing;14;;;;PlayStation 4
A.I.M.2 Clan Wars;;;;;PlayStation 4
A.R.C. Squadron;3;;;;PlayStation 4
A.R.E.S. Extinction Agenda EX;4;;;;PlayStation 4
A.R.E.S.: Extinction Agenda;2;;;;PlayStation 4
A.V.A: Alliance of Valiant Arms;;;;;PlayStation 4
A.V.G.M.;0.5;;;;PlayStation 4
A.W.: Phoenix Festa;4;;;;PlayStation 4
A/X-101;1;;;;PlayStation 4
A2 Racer III - Europa Tour;;;;;PlayStation 4
A2Be;;;;;PlayStation 4
AaAaAA!!! - A Reckless Disregard for Gravity;5;;;;PlayStation 4
AaaaAAaaaAAAaaAAAAaAAAAA!!! Force = Mass x Acceleration;;;;;PlayStation 4
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome;4.5;;;;PlayStation 4
Aaahh!!! Real Monsters;2.5;;;;PlayStation 4
Aabs Animal;0.08333333333333333;;;;PlayStation 4
Aaero;1.5;;;;PlayStation 4
Aarklash: Legacy;16;;;;PlayStation 4
Aaru's Awakening;2.5;;;;PlayStation 4
Abadox: The Deadly Inner War;0.6333333333333333;;;;PlayStation 4
Abalone;;;;;PlayStation 4
Abandoned;0.9333333333333333;;;;PlayStation 4
Abandoned Knight;;;;;PlayStation 4
Abandoned Places 2;;;;;PlayStation 4
Abandoned Places: A Time for Heroes;;;;;PlayStation 4
Abandoned: Chestnut Lodge Asylum;;;;;PlayStation 4
Abarenbou Princess;;;;;PlayStation 4
ABC Coloring Town;1.5;;;;PlayStation 4
Abducted;;;;;PlayStation 4
Abduction Action! Plus;;;;;PlayStation 4
Abduction Bit;;;;;PlayStation 4
ABE VR;;;;;PlayStation 4
Aberoth;;;;;PlayStation 4
Able Black;;;;;PlayStation 4
ABO MANDO;;;;;PlayStation 4
Abobo's Big Adventure;1.5;;;;PlayStation 4
Abode;0.75;;;;PlayStation 4
Abomination Tower;;;;;PlayStation 4
Abomination: The Nemesis Project;38;;;;PlayStation 4
About a Fox;0.08333333333333333;;;;PlayStation 4
About Elise;;;;;PlayStation 4
About Love, Hate and the other ones;5.5;;;;PlayStation 4
Above (2016);;;;;PlayStation 4
ABRACA: Imagic Games;;;;;PlayStation 4
Abrix for kids;;;;;PlayStation 4
Abrix the Robot;;;;;PlayStation 4
Absconding Zatwor;2;;;;PlayStation 4
Absence;;;;;PlayStation 4
Absent;4.5;;;;PlayStation 4
Absoloot;;;;;PlayStation 4
Absolute Drift;2;;;;PlayStation 4
Absolver;;;;;PlayStation 4
Abuse;;;;;PlayStation 4
Abyss;1;;;;PlayStation 4
Abyss Odyssey;4;;;;PlayStation 4
Abyss Raiders: Uncharted;;;;;PlayStation 4
Abyss: The Wraiths of Eden;3;;;;PlayStation 4
ABZÃ;2;;;;PlayStation 4
AC/DC Live: Rock Band Track Pack;4;;;;PlayStation 4
Academagia;;;;;PlayStation 4
Academagia: The Making of Mages;;;;;PlayStation 4
Acan's Call: Act 1;;;;;PlayStation 4
Accel World vs. Sword Art Online;25;;;;PlayStation 4
Acceleration of Suguri X Edition;0.95;;;;PlayStation 4
Acceptance (2016);;;;;PlayStation 4
Access Denied;1;;;;PlayStation 4
Accidental Runner;;;;;PlayStation 4
Accounting (2016);0.4666666666666667;;;;PlayStation 4
Ace;;;;;PlayStation 4
ACE - Arena: Cyber Evolution;;;;;PlayStation 4
ACE Academy;8;;;;PlayStation 4
Ace Attorney Investigations: Miles Edgeworth;23.5;;;;PlayStation 4
Ace Combat 04: Shattered Skies;4;;;;PlayStation 4
