title;main_story_length;mainextra_length;completionist_length;combined_length;platform
A Game of Changes;;;;;PlayStation 3
A Game of Dwarves;30;;;;PlayStation 3
A Game of Thrones: Genesis;11.5;;;;PlayStation 3
A Girls Fabric Face;;;;;PlayStation 3
A Goddess for Free;0.7166666666666667;;;;PlayStation 3
A Golden Wake;5;;;;PlayStation 3
A Goo Adventure;;;;;PlayStation 3
A Good Snowman is Hard to Build;1.5;;;;PlayStation 3
A Grande Bagunca Espacial - The Big Space Mess;;;;;PlayStation 3
A Hat in Time;8;;;;PlayStation 3
A Healer Only Lives Twice;3;;;;PlayStation 3
A Hole New World;;;;;PlayStation 3
A House of Many Doors;20;;;;PlayStation 3
A Jax;;;;;PlayStation 3
A Kappa's Trail;6;;;;PlayStation 3
A King's Tale: Final Fantasy XV;1.5;;;;PlayStation 3
A Kingdom for Keflings;6;;;;PlayStation 3
A Kiss for the Petals: Remembering How We Met;;;;;PlayStation 3
A Land Fit For Heroes;;;;;PlayStation 3
A Legend of Luca;;;;;PlayStation 3
A Lenda do Heroi;;;;;PlayStation 3
A Little Lily Princess;6.5;;;;PlayStation 3
A Lonely Moon;0.08333333333333333;;;;PlayStation 3
A Long Road Home;;;;;PlayStation 3
A Long Way Home;;;;;PlayStation 3
A Magical High School Girl;;;;;PlayStation 3
A Mind Forever Voyaging;;;;;PlayStation 3
A Mortician's Tale;0.9666666666666667;;;;PlayStation 3
A Mother's Inferno;0.25;;;;PlayStation 3
A Mysterious Thief;;;;;PlayStation 3
A Nation of Wind;;;;;PlayStation 3
A New Beginning;9;;;;PlayStation 3
A New Reckoning;0.25;;;;PlayStation 3
A Nightmare on Elm Street;2;;;;PlayStation 3
A Noble Circle;0.25;;;;PlayStation 3
A Normal Lost Phone;1.5;;;;PlayStation 3
A Number's life;;;;;PlayStation 3
A Pixel Story;;;;;PlayStation 3
A Princess' Tale;;;;;PlayStation 3
A Quiver of Crows;;;;;PlayStation 3
A Robot Named Fight!;;;;;PlayStation 3
A Rose in the Twilight;;;;;PlayStation 3
A Second Face;2.5;;;;PlayStation 3
A Sirius Game;;;;;PlayStation 3
A Sound of Thunder;4;;;;PlayStation 3
A Space Shooter For Two Bucks!;5.5;;;;PlayStation 3
A Step Into Darkness;;;;;PlayStation 3
A Story About My Uncle;3;;;;PlayStation 3
A Stroke of Fate: Operation Bunker;;;;;PlayStation 3
A Stroke of Fate: Operation Valkyrie;7;;;;PlayStation 3
A Study in Steampunk: Choice by Gaslight;;;;;PlayStation 3
A Sweet Meeting;;;;;PlayStation 3
A tale about life, death and a looser;;;;;PlayStation 3
A Tale of Caos: Overture;;;;;PlayStation 3
A Tale of Two Kingdoms;;;;;PlayStation 3
A Trip to Yugoslavia;;;;;PlayStation 3
A Truth to be Told;;;;;PlayStation 3
A Valley Without Wind;16.5;;;;PlayStation 3
A Valley Without Wind 2;9.5;;;;PlayStation 3
A Vampyre Story;7.5;;;;PlayStation 3
A Verdant Hue;;;;;PlayStation 3
A Virus Named Tom;4;;;;PlayStation 3
A Walk in the Dark;3;;;;PlayStation 3
A Way Out;;;;;PlayStation 3
A Week of Circus Terror;;;;;PlayStation 3
A Week of Garfield;1.5;;;;PlayStation 3
A Wild Catgirl Appears!;0.95;;;;PlayStation 3
A Wise Use of Time;5;;;;PlayStation 3
A Witch's Tale;16;;;;PlayStation 3
A Wizard's Lizard;1.5;;;;PlayStation 3
A Wizard's Odyssey;;;;;PlayStation 3
A Wolf in Autumn;0.6666666666666666;;;;PlayStation 3
A World of Keflings;7;;;;PlayStation 3
A World of Keflings - It Came From Outer Space;;;;;PlayStation 3
A World of Keflings - Sugar, Spice and Not So Nice;;;;;PlayStation 3
A World of Keflings - The Curse of the Zombiesaurus;;;;;PlayStation 3
A*M*E*R*I*C*A;;;;;PlayStation 3
A-10 Tank Killer;;;;;PlayStation 3
A-10 VR;;;;;PlayStation 3
A-Gents;;;;;PlayStation 3
A-Men;9;;;;PlayStation 3
A-Men 2;14;;;;PlayStation 3
A-Train;;;;;PlayStation 3
A-Train 3D: City Simulator;;;;;PlayStation 3
A-Train 6;;;;;PlayStation 3
A-Train 8;;;;;PlayStation 3
A-Train 9;;;;;PlayStation 3
A-Train 9 V4.0: Japan Rail Simulator;;;;;PlayStation 3
A-Train HX;;;;;PlayStation 3
A.D. 2044;;;;;PlayStation 3
A.I. Invasion;;;;;PlayStation 3
A.I. Space Corps;;;;;PlayStation 3
A.I.M. Racing;14;;;;PlayStation 3
A.I.M.2 Clan Wars;;;;;PlayStation 3
A.R.C. Squadron;3;;;;PlayStation 3
A.R.E.S. Extinction Agenda EX;4;;;;PlayStation 3
A.R.E.S.: Extinction Agenda;2;;;;PlayStation 3
A.V.A: Alliance of Valiant Arms;;;;;PlayStation 3
A.V.G.M.;0.5;;;;PlayStation 3
A.W.: Phoenix Festa;4;;;;PlayStation 3
A/X-101;1;;;;PlayStation 3
A2 Racer III - Europa Tour;;;;;PlayStation 3
A2Be;;;;;PlayStation 3
AaAaAA!!! - A Reckless Disregard for Gravity;5;;;;PlayStation 3
AaaaAAaaaAAAaaAAAAaAAAAA!!! Force = Mass x Acceleration;;;;;PlayStation 3
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome;4.5;;;;PlayStation 3
Aaahh!!! Real Monsters;2.5;;;;PlayStation 3
Aabs Animal;0.08333333333333333;;;;PlayStation 3
Aaero;1.5;;;;PlayStation 3
Aarklash: Legacy;16;;;;PlayStation 3
Aaru's Awakening;2.5;;;;PlayStation 3
Abadox: The Deadly Inner War;0.6333333333333333;;;;PlayStation 3
Abalone;;;;;PlayStation 3
Abandoned;0.9333333333333333;;;;PlayStation 3
Abandoned Knight;;;;;PlayStation 3
Abandoned Places 2;;;;;PlayStation 3
Abandoned Places: A Time for Heroes;;;;;PlayStation 3
Abandoned: Chestnut Lodge Asylum;;;;;PlayStation 3
Abarenbou Princess;;;;;PlayStation 3
ABC Coloring Town;1.5;;;;PlayStation 3
Abducted;;;;;PlayStation 3
Abduction Action! Plus;;;;;PlayStation 3
Abduction Bit;;;;;PlayStation 3
ABE VR;;;;;PlayStation 3
Aberoth;;;;;PlayStation 3
Able Black;;;;;PlayStation 3
ABO MANDO;;;;;PlayStation 3
Abobo's Big Adventure;1.5;;;;PlayStation 3
Abode;0.75;;;;PlayStation 3
Abomination Tower;;;;;PlayStation 3
Abomination: The Nemesis Project;38;;;;PlayStation 3
About a Fox;0.08333333333333333;;;;PlayStation 3
About Elise;;;;;PlayStation 3
About Love, Hate and the other ones;5.5;;;;PlayStation 3
Above (2016);;;;;PlayStation 3
ABRACA: Imagic Games;;;;;PlayStation 3
Abrix for kids;;;;;PlayStation 3
Abrix the Robot;;;;;PlayStation 3
Absconding Zatwor;2;;;;PlayStation 3
Absence;;;;;PlayStation 3
Absent;4.5;;;;PlayStation 3
Absoloot;;;;;PlayStation 3
Absolute Drift;2;;;;PlayStation 3
Absolver;;;;;PlayStation 3
Abuse;;;;;PlayStation 3
Abyss;1;;;;PlayStation 3
Abyss Odyssey;4;;;;PlayStation 3
Abyss Raiders: Uncharted;;;;;PlayStation 3
Abyss: The Wraiths of Eden;3;;;;PlayStation 3
ABZÃ;2;;;;PlayStation 3
AC/DC Live: Rock Band Track Pack;4;;;;PlayStation 3
Academagia;;;;;PlayStation 3
Academagia: The Making of Mages;;;;;PlayStation 3
Acan's Call: Act 1;;;;;PlayStation 3
Accel World vs. Sword Art Online;25;;;;PlayStation 3
Acceleration of Suguri X Edition;0.95;;;;PlayStation 3
Acceptance (2016);;;;;PlayStation 3
Access Denied;1;;;;PlayStation 3
Accidental Runner;;;;;PlayStation 3
Accounting (2016);0.4666666666666667;;;;PlayStation 3
Ace;;;;;PlayStation 3
ACE - Arena: Cyber Evolution;;;;;PlayStation 3
ACE Academy;8;;;;PlayStation 3
Ace Attorney Investigations: Miles Edgeworth;23.5;;;;PlayStation 3
Ace Combat 04: Shattered Skies;4;;;;PlayStation 3
Ace Combat 2;4;;;;PlayStation 3
Ace Combat 3: Electrosphere;4.5;;;;PlayStation 3
Ace Combat 5: The Unsung War;6.5;;;;PlayStation 3
Ace Combat 6: Fires of Liberation;12;;;;PlayStation 3
Ace Combat Advance;;;;;PlayStation 3
Ace Combat Infinity;4;;;;PlayStation 3
Ace Combat X: Skies of Deception;4;;;;PlayStation 3
Ace Combat Zero: The Belkan War;4.5;;;;PlayStation 3
Ace Combat: Assault Horizon;8.5;;;;PlayStation 3
Ace Combat: Assault Horizon - Enhanced Edition;8;;;;PlayStation 3
Ace Combat: Assault Horizon Legacy;4.5;;;;PlayStation 3
Ace Combat: Joint Assault;7;;;;PlayStation 3
Ace Lightning;;;;;PlayStation 3
Ace Mathician;;;;;PlayStation 3
Ace of Aces;;;;;PlayStation 3
Ace of Protectors;;;;;PlayStation 3
Ace of Seafood;3.5;;;;PlayStation 3
Ace of Spades;;;;;PlayStation 3
Ace of Words;;;;;PlayStation 3
Ace Ventura: The CD-Rom Game;3;;;;PlayStation 3
Aces High III;;;;;PlayStation 3
Aces of the Galaxy;1;;;;PlayStation 3
Aces of the Luftwaffe;10.5;;;;PlayStation 3
Aces of the Pacific;;;;;PlayStation 3
Aces of the Pacific - WWII: 1946 - Expansion Disk;;;;;PlayStation 3
Aces of War;;;;;PlayStation 3
Aces Wild: Manic Brawling Action!;2.5;;;;PlayStation 3
Achievement Unlocked;0.31666666666666665;;;;PlayStation 3
Achievement Unlocked 2;0.8166666666666667;;;;PlayStation 3
Achievement Unlocked 3;2.5;;;;PlayStation 3
Achron;70;;;;PlayStation 3
Achtung Panzer: Kharkov 1943;;;;;PlayStation 3
Acid Drift: Solar;;;;;PlayStation 3
Acid Drop;;;;;PlayStation 3
Ack-Ack Attack!;;;;;PlayStation 3
Aconcagua;3.5;;;;PlayStation 3
Acorn Assault: Rodent Revolution;;;;;PlayStation 3
Acro Storm;;;;;PlayStation 3
Acrobat Mission;0.75;;;;PlayStation 3
Acrophobia;;;;;PlayStation 3
Across Age DX;;;;;PlayStation 3
Across The Line;;;;;PlayStation 3
Across The Moment;;;;;PlayStation 3
Across the Rhine;;;;;PlayStation 3
AcrossFlash;;;;;PlayStation 3
Act of Aggression;18.5;;;;PlayStation 3
Act of War: Direct Action;13.5;;;;PlayStation 3
Act of War: High Treason;;;;;PlayStation 3
Action 52;;;;;PlayStation 3
Action Alien;;;;;PlayStation 3
Action Bass;5.5;;;;PlayStation 3
Action Fighter;;;;;PlayStation 3
Action Fist;;;;;PlayStation 3
Action Henk;4;;;;PlayStation 3
Action Man: Destruction X;;;;;PlayStation 3
Action Man: Operation Extreme;;;;;PlayStation 3
Action Man: Raid on Island X;;;;;PlayStation 3
Action Man: Robot Atak;3;;;;PlayStation 3
Action Pachio;;;;;PlayStation 3
Activate the Three Artefacts and then Leave;3;;;;PlayStation 3
Activision Anthology;;;;;PlayStation 3
ActRaiser;4.5;;;;PlayStation 3
ActRaiser 2;4.5;;;;PlayStation 3
Actrazer;;;;;PlayStation 3
Actua Golf 3;;;;;PlayStation 3
Actua Soccer;;;;;PlayStation 3
Actua Soccer 3;;;;;PlayStation 3
Actua Soccer: Club Edition;;;;;PlayStation 3
Actual Crimes: Jack the ripper;2;;;;PlayStation 3
Actual Sunlight;1;;;;PlayStation 3
Adagio;;;;;PlayStation 3
Adam and Eve;;;;;PlayStation 3
Adam and Eve: The Game - Chapter 1;;;;;PlayStation 3
Adam Wolfe;5;;;;PlayStation 3
Adam's Venture - Episode 1: The Search for the Lost Garden;1.5;;;;PlayStation 3
Adam's Venture - Episode 2: Solomon's Secret;2;;;;PlayStation 3
Adam's Venture - Episode 3: Revelations;2;;;;PlayStation 3
Adam's Venture Chronicles;5;;;;PlayStation 3
Adam's Venture: Origins;4.5;;;;PlayStation 3
Addams Family Values;;;;;PlayStation 3
Adera;;;;;PlayStation 3
Adibou 2;5;;;;PlayStation 3
Adiboud'chou Ã  la Campagne;;;;;PlayStation 3
Admiral Nemo;;;;;PlayStation 3
