title;main_story_length;mainextra_length;completionist_length;combined_length;platform
A Step Into Darkness;;;;;Xbox One
A Story About My Uncle;3;;;;Xbox One
A Stroke of Fate: Operation Bunker;;;;;Xbox One
A Stroke of Fate: Operation Valkyrie;7;;;;Xbox One
A Study in Steampunk: Choice by Gaslight;;;;;Xbox One
A Sweet Meeting;;;;;Xbox One
A tale about life, death and a looser;;;;;Xbox One
A Tale of Caos: Overture;;;;;Xbox One
A Tale of Two Kingdoms;;;;;Xbox One
A Trip to Yugoslavia;;;;;Xbox One
A Truth to be Told;;;;;Xbox One
A Valley Without Wind;16.5;;;;Xbox One
A Valley Without Wind 2;9.5;;;;Xbox One
A Vampyre Story;7.5;;;;Xbox One
A Verdant Hue;;;;;Xbox One
A Virus Named Tom;4;;;;Xbox One
A Walk in the Dark;3;;;;Xbox One
A Way Out;;;;;Xbox One
A Week of Circus Terror;;;;;Xbox One
A Week of Garfield;1.5;;;;Xbox One
A Wild Catgirl Appears!;0.95;;;;Xbox One
A Wise Use of Time;5;;;;Xbox One
A Witch's Tale;16;;;;Xbox One
A Wizard's Lizard;1.5;;;;Xbox One
A Wizard's Odyssey;;;;;Xbox One
A Wolf in Autumn;0.6666666666666666;;;;Xbox One
A World of Keflings;7;;;;Xbox One
A World of Keflings - It Came From Outer Space;;;;;Xbox One
A World of Keflings - Sugar, Spice and Not So Nice;;;;;Xbox One
A World of Keflings - The Curse of the Zombiesaurus;;;;;Xbox One
A*M*E*R*I*C*A;;;;;Xbox One
A-10 Tank Killer;;;;;Xbox One
A-10 VR;;;;;Xbox One
A-Gents;;;;;Xbox One
A-Men;9;;;;Xbox One
A-Men 2;14;;;;Xbox One
A-Train;;;;;Xbox One
A-Train 3D: City Simulator;;;;;Xbox One
A-Train 6;;;;;Xbox One
A-Train 8;;;;;Xbox One
A-Train 9;;;;;Xbox One
A-Train 9 V4.0: Japan Rail Simulator;;;;;Xbox One
A-Train HX;;;;;Xbox One
A.D. 2044;;;;;Xbox One
A.I. Invasion;;;;;Xbox One
A.I. Space Corps;;;;;Xbox One
A.I.M. Racing;14;;;;Xbox One
A.I.M.2 Clan Wars;;;;;Xbox One
A.R.C. Squadron;3;;;;Xbox One
A.R.E.S. Extinction Agenda EX;4;;;;Xbox One
A.R.E.S.: Extinction Agenda;2;;;;Xbox One
A.V.A: Alliance of Valiant Arms;;;;;Xbox One
A.V.G.M.;0.5;;;;Xbox One
A.W.: Phoenix Festa;4;;;;Xbox One
A/X-101;1;;;;Xbox One
A2 Racer III - Europa Tour;;;;;Xbox One
A2Be;;;;;Xbox One
AaAaAA!!! - A Reckless Disregard for Gravity;5;;;;Xbox One
AaaaAAaaaAAAaaAAAAaAAAAA!!! Force = Mass x Acceleration;;;;;Xbox One
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome;4.5;;;;Xbox One
Aaahh!!! Real Monsters;2.5;;;;Xbox One
Aabs Animal;0.08333333333333333;;;;Xbox One
Aaero;1.5;;;;Xbox One
Aarklash: Legacy;16;;;;Xbox One
Aaru's Awakening;2.5;;;;Xbox One
Abadox: The Deadly Inner War;0.6333333333333333;;;;Xbox One
Abalone;;;;;Xbox One
Abandoned;0.9333333333333333;;;;Xbox One
Abandoned Knight;;;;;Xbox One
Abandoned Places 2;;;;;Xbox One
Abandoned Places: A Time for Heroes;;;;;Xbox One
Abandoned: Chestnut Lodge Asylum;;;;;Xbox One
Abarenbou Princess;;;;;Xbox One
ABC Coloring Town;1.5;;;;Xbox One
Abducted;;;;;Xbox One
Abduction Action! Plus;;;;;Xbox One
Abduction Bit;;;;;Xbox One
ABE VR;;;;;Xbox One
Aberoth;;;;;Xbox One
Able Black;;;;;Xbox One
ABO MANDO;;;;;Xbox One
Abobo's Big Adventure;1.5;;;;Xbox One
Abode;0.75;;;;Xbox One
Abomination Tower;;;;;Xbox One
Abomination: The Nemesis Project;38;;;;Xbox One
About a Fox;0.08333333333333333;;;;Xbox One
About Elise;;;;;Xbox One
About Love, Hate and the other ones;5.5;;;;Xbox One
Above (2016);;;;;Xbox One
ABRACA: Imagic Games;;;;;Xbox One
Abrix for kids;;;;;Xbox One
Abrix the Robot;;;;;Xbox One
Absconding Zatwor;2;;;;Xbox One
Absence;;;;;Xbox One
Absent;4.5;;;;Xbox One
Absoloot;;;;;Xbox One
Absolute Drift;2;;;;Xbox One
Absolver;;;;;Xbox One
Abuse;;;;;Xbox One
Abyss;1;;;;Xbox One
Abyss Odyssey;4;;;;Xbox One
Abyss Raiders: Uncharted;;;;;Xbox One
Abyss: The Wraiths of Eden;3;;;;Xbox One
ABZÃ;2;;;;Xbox One
AC/DC Live: Rock Band Track Pack;4;;;;Xbox One
Academagia;;;;;Xbox One
Academagia: The Making of Mages;;;;;Xbox One
Acan's Call: Act 1;;;;;Xbox One
Accel World vs. Sword Art Online;25;;;;Xbox One
Acceleration of Suguri X Edition;0.95;;;;Xbox One
Acceptance (2016);;;;;Xbox One
Access Denied;1;;;;Xbox One
Accidental Runner;;;;;Xbox One
Accounting (2016);0.4666666666666667;;;;Xbox One
Ace;;;;;Xbox One
ACE - Arena: Cyber Evolution;;;;;Xbox One
ACE Academy;8;;;;Xbox One
Ace Attorney Investigations: Miles Edgeworth;23.5;;;;Xbox One
Ace Combat 04: Shattered Skies;4;;;;Xbox One
Ace Combat 2;4;;;;Xbox One
Ace Combat 3: Electrosphere;4.5;;;;Xbox One
Ace Combat 5: The Unsung War;6.5;;;;Xbox One
Ace Combat 6: Fires of Liberation;12;;;;Xbox One
Ace Combat Advance;;;;;Xbox One
Ace Combat Infinity;4;;;;Xbox One
Ace Combat X: Skies of Deception;4;;;;Xbox One
Ace Combat Zero: The Belkan War;4.5;;;;Xbox One
Ace Combat: Assault Horizon;8.5;;;;Xbox One
Ace Combat: Assault Horizon - Enhanced Edition;8;;;;Xbox One
Ace Combat: Assault Horizon Legacy;4.5;;;;Xbox One
Ace Combat: Joint Assault;7;;;;Xbox One
Ace Lightning;;;;;Xbox One
Ace Mathician;;;;;Xbox One
Ace of Aces;;;;;Xbox One
Ace of Protectors;;;;;Xbox One
Ace of Seafood;3.5;;;;Xbox One
Ace of Spades;;;;;Xbox One
Ace of Words;;;;;Xbox One
Ace Ventura: The CD-Rom Game;3;;;;Xbox One
Aces High III;;;;;Xbox One
Aces of the Galaxy;1;;;;Xbox One
Aces of the Luftwaffe;10.5;;;;Xbox One
Aces of the Pacific;;;;;Xbox One
Aces of the Pacific - WWII: 1946 - Expansion Disk;;;;;Xbox One
Aces of War;;;;;Xbox One
Aces Wild: Manic Brawling Action!;2.5;;;;Xbox One
Achievement Unlocked;0.31666666666666665;;;;Xbox One
Achievement Unlocked 2;0.8166666666666667;;;;Xbox One
Achievement Unlocked 3;2.5;;;;Xbox One
Achron;70;;;;Xbox One
Achtung Panzer: Kharkov 1943;;;;;Xbox One
Acid Drift: Solar;;;;;Xbox One
Acid Drop;;;;;Xbox One
Ack-Ack Attack!;;;;;Xbox One
Aconcagua;3.5;;;;Xbox One
Acorn Assault: Rodent Revolution;;;;;Xbox One
Acro Storm;;;;;Xbox One
Acrobat Mission;0.75;;;;Xbox One
Acrophobia;;;;;Xbox One
Across Age DX;;;;;Xbox One
Across The Line;;;;;Xbox One
Across The Moment;;;;;Xbox One
Across the Rhine;;;;;Xbox One
AcrossFlash;;;;;Xbox One
Act of Aggression;18.5;;;;Xbox One
Act of War: Direct Action;13.5;;;;Xbox One
Act of War: High Treason;;;;;Xbox One
Action 52;;;;;Xbox One
Action Alien;;;;;Xbox One
Action Bass;5.5;;;;Xbox One
Action Fighter;;;;;Xbox One
Action Fist;;;;;Xbox One
Action Henk;4;;;;Xbox One
Action Man: Destruction X;;;;;Xbox One
Action Man: Operation Extreme;;;;;Xbox One
Action Man: Raid on Island X;;;;;Xbox One
Action Man: Robot Atak;3;;;;Xbox One
Action Pachio;;;;;Xbox One
Activate the Three Artefacts and then Leave;3;;;;Xbox One
Activision Anthology;;;;;Xbox One
ActRaiser;4.5;;;;Xbox One
ActRaiser 2;4.5;;;;Xbox One
Actrazer;;;;;Xbox One
Actua Golf 3;;;;;Xbox One
Actua Soccer;;;;;Xbox One
Actua Soccer 3;;;;;Xbox One
Actua Soccer: Club Edition;;;;;Xbox One
Actual Crimes: Jack the ripper;2;;;;Xbox One
Actual Sunlight;1;;;;Xbox One
Adagio;;;;;Xbox One
Adam and Eve;;;;;Xbox One
Adam and Eve: The Game - Chapter 1;;;;;Xbox One
Adam Wolfe;5;;;;Xbox One
Adam's Venture - Episode 1: The Search for the Lost Garden;1.5;;;;Xbox One
Adam's Venture - Episode 2: Solomon's Secret;2;;;;Xbox One
Adam's Venture - Episode 3: Revelations;2;;;;Xbox One
Adam's Venture Chronicles;5;;;;Xbox One
Adam's Venture: Origins;4.5;;;;Xbox One
Addams Family Values;;;;;Xbox One
Adera;;;;;Xbox One
Adibou 2;5;;;;Xbox One
Adiboud'chou Ã  la Campagne;;;;;Xbox One
Admiral Nemo;;;;;Xbox One
ADOM: Ancient Domains Of Mystery;;;;;Xbox One
Adorables;;;;;Xbox One
Adrenalin Misfits;;;;;Xbox One
Adrenaline Adventure;;;;;Xbox One
Adrenix;;;;;Xbox One
Adrift;4.5;;;;Xbox One
Advance Guardian Heroes;3;;;;Xbox One
Advance Wars;13;;;;Xbox One
Advance Wars 2: Black Hole Rising;27.5;;;;Xbox One
Advance Wars: Days of Ruin;19.5;;;;Xbox One
Advance Wars: Dual Strike;24.5;;;;Xbox One
Advanced Dungeons & Dragons: Heroes of the Lance;;;;;Xbox One
Advanced Dungeons & Dragons: Slayer;;;;;Xbox One
Advanced Dungeons & Dragons: Treasure of Tarmin;7.5;;;;Xbox One
Advanced Tactics: Gold;;;;;Xbox One
Advanced V.G. 2;0.25;;;;Xbox One
Advent;;;;;Xbox One
Advent Rising;8;;;;Xbox One
Adventure (1979);0.25;;;;Xbox One
Adventure (1982);;;;;Xbox One
Adventure Apes and the Mayan Mystery;;;;;Xbox One
Adventure Bar Labyrinth;;;;;Xbox One
Adventure Bar Story;58;;;;Xbox One
Adventure Beyond Time: Island Escape;;;;;Xbox One
AdVenture Capitalist;37;;;;Xbox One
Adventure Chronicles: The Search For Lost Treasure;3;;;;Xbox One
AdVenture Communist;2;;;;Xbox One
Adventure Construction Set;;;;;Xbox One
Adventure Escape: Murder Manor;;;;;Xbox One
Adventure in the Tower of Flight;1.5;;;;Xbox One
Adventure Island;0.9166666666666666;;;;Xbox One
Adventure Island II;2.5;;;;Xbox One
Adventure Island III;1.5;;;;Xbox One
Adventure Island IV;2;;;;Xbox One
Adventure Island: The Beginning;2;;;;Xbox One
ADventure Lib;0.5166666666666667;;;;Xbox One
Adventure of Poco Eco;;;;;Xbox One
Adventure of Tokyo Disney Sea;;;;;Xbox One
Adventure Park;5;;;;Xbox One
Adventure Pinball: Forgotten Island;;;;;Xbox One
Adventure Pop;;;;;Xbox One
Adventure Quest;;;;;Xbox One
Adventure Quest 3D;10;;;;Xbox One
Adventure Rage;;;;;Xbox One
Adventure Time: Artifact Checking;;;;;Xbox One
Adventure Time: Card Wars;;;;;Xbox One
Adventure Time: Explore the Dungeon Because I Don't Know!;7;;;;Xbox One
Adventure Time: Finn & Jake Investigations;;;;;Xbox One
Adventure Time: Finn and Jake's Epic Quest;2.5;;;;Xbox One
Adventure Time: Hey Ice King! Why'd You Steal Our Garbage?!;5;;;;Xbox One
Adventure Time: Magic Man's Head Games;0.5;;;;Xbox One
Adventure Time: Rock Bandits;;;;;Xbox One
Adventure Time: The Secret of the Nameless Kingdom;;;;;Xbox One
Adventure Town;;;;;Xbox One
Adventure World;;;;;Xbox One
Adventureland;;;;;Xbox One
Adventurer Manager;14;;;;Xbox One
Adventures in the Magic Kingdom;0.6166666666666667;;;;Xbox One
Adventures of Abrix;;;;;Xbox One
Adventures of Beetlejuice: Skeletons In The Closet;;;;;Xbox One
Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business;1;;;;Xbox One
Adventures of Darwin;;;;;Xbox One
Adventures of Dino Riki;1.5;;;;Xbox One
Adventures of Fluzz;;;;;Xbox One
Adventures Of Kok;;;;;Xbox One
Adventures of Lolo;3;;;;Xbox One
Adventures of Lolo 2;4;;;;Xbox One
Adventures of Lolo 3;12.5;;;;Xbox One
Adventures of Mana;9.5;;;;Xbox One
