title;main_story_length;mainextra_length;completionist_length;combined_length;platform
A Bug's Life;5.5;;;;Android
A Bug's Life (GBC);3;;;;Android
A Camp in the Woods;;;;;Android
A Chair in a Room: Greenwater;2;;;;Android
A City Sleeps;1;;;;Android
A Collection of Activision Classic Games for the Atari 2600;;;;;Android
A Cosmic Forest;;;;;Android
A Dark Room;3.5;;;;Android
A Date in the Park;0.6166666666666667;;;;Android
A Dead World's Dream;;;;;Android
A Demon's Game - Episode 1;;;;;Android
A Detective's Novel;1.5;;;;Android
A Druid's Duel;13;;;;Android
A Duck Has An Adventure;;;;;Android
A Fairy Tale;;;;;Android
A Family of Grave Diggers;;;;;Android
A Farewell to Dragons;;;;;Android
A Fistful of Gun;3;;;;Android
A Flipping Good Time;;;;;Android
A Foretold Affair;4;;;;Android
A Game of Changes;;;;;Android
A Game of Dwarves;30;;;;Android
A Game of Thrones: Genesis;11.5;;;;Android
A Girls Fabric Face;;;;;Android
A Goddess for Free;0.7166666666666667;;;;Android
A Golden Wake;5;;;;Android
A Goo Adventure;;;;;Android
A Good Snowman is Hard to Build;1.5;;;;Android
A Grande Bagunca Espacial - The Big Space Mess;;;;;Android
A Hat in Time;8;;;;Android
A Healer Only Lives Twice;3;;;;Android
A Hole New World;;;;;Android
A House of Many Doors;20;;;;Android
A Jax;;;;;Android
A Kappa's Trail;6;;;;Android
A King's Tale: Final Fantasy XV;1.5;;;;Android
A Kingdom for Keflings;6;;;;Android
A Kiss for the Petals: Remembering How We Met;;;;;Android
A Land Fit For Heroes;;;;;Android
A Legend of Luca;;;;;Android
A Lenda do Heroi;;;;;Android
A Little Lily Princess;6.5;;;;Android
A Lonely Moon;0.08333333333333333;;;;Android
A Long Road Home;;;;;Android
A Long Way Home;;;;;Android
A Magical High School Girl;;;;;Android
A Mind Forever Voyaging;;;;;Android
A Mortician's Tale;0.9666666666666667;;;;Android
A Mother's Inferno;0.25;;;;Android
A Mysterious Thief;;;;;Android
A Nation of Wind;;;;;Android
A New Beginning;9;;;;Android
A New Reckoning;0.25;;;;Android
A Nightmare on Elm Street;2;;;;Android
A Noble Circle;0.25;;;;Android
A Normal Lost Phone;1.5;;;;Android
A Number's life;;;;;Android
A Pixel Story;;;;;Android
A Princess' Tale;;;;;Android
A Quiver of Crows;;;;;Android
A Robot Named Fight!;;;;;Android
A Rose in the Twilight;;;;;Android
A Second Face;2.5;;;;Android
A Sirius Game;;;;;Android
A Sound of Thunder;4;;;;Android
A Space Shooter For Two Bucks!;5.5;;;;Android
A Step Into Darkness;;;;;Android
A Story About My Uncle;3;;;;Android
A Stroke of Fate: Operation Bunker;;;;;Android
A Stroke of Fate: Operation Valkyrie;7;;;;Android
A Study in Steampunk: Choice by Gaslight;;;;;Android
A Sweet Meeting;;;;;Android
A tale about life, death and a looser;;;;;Android
A Tale of Caos: Overture;;;;;Android
A Tale of Two Kingdoms;;;;;Android
A Trip to Yugoslavia;;;;;Android
A Truth to be Told;;;;;Android
A Valley Without Wind;16.5;;;;Android
A Valley Without Wind 2;9.5;;;;Android
A Vampyre Story;7.5;;;;Android
A Verdant Hue;;;;;Android
A Virus Named Tom;4;;;;Android
A Walk in the Dark;3;;;;Android
A Way Out;;;;;Android
A Week of Circus Terror;;;;;Android
A Week of Garfield;1.5;;;;Android
A Wild Catgirl Appears!;0.95;;;;Android
A Wise Use of Time;5;;;;Android
A Witch's Tale;16;;;;Android
A Wizard's Lizard;1.5;;;;Android
A Wizard's Odyssey;;;;;Android
A Wolf in Autumn;0.6666666666666666;;;;Android
A World of Keflings;7;;;;Android
A World of Keflings - It Came From Outer Space;;;;;Android
A World of Keflings - Sugar, Spice and Not So Nice;;;;;Android
A World of Keflings - The Curse of the Zombiesaurus;;;;;Android
A*M*E*R*I*C*A;;;;;Android
A-10 Tank Killer;;;;;Android
A-10 VR;;;;;Android
A-Gents;;;;;Android
A-Men;9;;;;Android
A-Men 2;14;;;;Android
A-Train;;;;;Android
A-Train 3D: City Simulator;;;;;Android
A-Train 6;;;;;Android
A-Train 8;;;;;Android
A-Train 9;;;;;Android
A-Train 9 V4.0: Japan Rail Simulator;;;;;Android
A-Train HX;;;;;Android
A.D. 2044;3;;;;Android
A.I. Invasion;;;;;Android
A.I. Space Corps;;;;;Android
A.I.M. Racing;14;;;;Android
A.I.M.2 Clan Wars;;;;;Android
A.R.C. Squadron;3;;;;Android
A.R.E.S. Extinction Agenda EX;4;;;;Android
A.R.E.S.: Extinction Agenda;2;;;;Android
A.V.A: Alliance of Valiant Arms;;;;;Android
A.V.G.M.;0.5;;;;Android
A.W.: Phoenix Festa;4;;;;Android
A/X-101;1;;;;Android
A2 Racer III - Europa Tour;;;;;Android
A2Be;;;;;Android
AaAaAA!!! - A Reckless Disregard for Gravity;5;;;;Android
AaaaAAaaaAAAaaAAAAaAAAAA!!! Force = Mass x Acceleration;;;;;Android
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome;4.5;;;;Android
Aaahh!!! Real Monsters;2.5;;;;Android
Aabs Animal;0.08333333333333333;;;;Android
Aaero;1.5;;;;Android
Aarklash: Legacy;16;;;;Android
Aaru's Awakening;2.5;;;;Android
Abadox: The Deadly Inner War;0.6333333333333333;;;;Android
Abalone;;;;;Android
Abandoned;0.9333333333333333;;;;Android
Abandoned Knight;;;;;Android
Abandoned Places 2;;;;;Android
Abandoned Places: A Time for Heroes;;;;;Android
Abandoned: Chestnut Lodge Asylum;;;;;Android
Abarenbou Princess;;;;;Android
ABC Coloring Town;1.5;;;;Android
Abducted;;;;;Android
Abduction Action! Plus;;;;;Android
Abduction Bit;;;;;Android
ABE VR;;;;;Android
Aberoth;;;;;Android
Able Black;;;;;Android
ABO MANDO;;;;;Android
Abobo's Big Adventure;1.5;;;;Android
Abode;0.75;;;;Android
Abomination Tower;;;;;Android
Abomination: The Nemesis Project;38;;;;Android
About a Fox;0.08333333333333333;;;;Android
About Elise;;;;;Android
About Love, Hate and the other ones;5.5;;;;Android
Above (2016);;;;;Android
ABRACA: Imagic Games;;;;;Android
Abrix for kids;;;;;Android
Abrix the Robot;;;;;Android
Absconding Zatwor;2;;;;Android
Absence;;;;;Android
Absent;4.5;;;;Android
Absoloot;;;;;Android
Absolute Drift;2;;;;Android
Absolver;;;;;Android
Abuse;;;;;Android
Abyss;1;;;;Android
Abyss Odyssey;4;;;;Android
Abyss Raiders: Uncharted;;;;;Android
Abyss: The Wraiths of Eden;3;;;;Android
ABZÃ;2;;;;Android
AC/DC Live: Rock Band Track Pack;4;;;;Android
Academagia;;;;;Android
Academagia: The Making of Mages;;;;;Android
Acan's Call: Act 1;;;;;Android
Accel World vs. Sword Art Online;25;;;;Android
Acceleration of Suguri X Edition;0.95;;;;Android
Acceptance (2016);;;;;Android
Access Denied;1;;;;Android
Accidental Runner;;;;;Android
Accounting (2016);0.4666666666666667;;;;Android
Ace;;;;;Android
ACE - Arena: Cyber Evolution;;;;;Android
ACE Academy;8;;;;Android
Ace Attorney Investigations: Miles Edgeworth;23.5;;;;Android
Ace Combat 04: Shattered Skies;4;;;;Android
Ace Combat 2;4;;;;Android
Ace Combat 3: Electrosphere;4.5;;;;Android
Ace Combat 5: The Unsung War;6.5;;;;Android
Ace Combat 6: Fires of Liberation;12;;;;Android
Ace Combat Advance;;;;;Android
Ace Combat Infinity;4;;;;Android
Ace Combat X: Skies of Deception;4;;;;Android
Ace Combat Zero: The Belkan War;4.5;;;;Android
Ace Combat: Assault Horizon;8.5;;;;Android
Ace Combat: Assault Horizon - Enhanced Edition;8;;;;Android
Ace Combat: Assault Horizon Legacy;4.5;;;;Android
Ace Combat: Joint Assault;7;;;;Android
Ace Lightning;;;;;Android
Ace Mathician;;;;;Android
Ace of Aces;;;;;Android
Ace of Protectors;;;;;Android
Ace of Seafood;3.5;;;;Android
Ace of Spades;;;;;Android
Ace of Words;;;;;Android
Ace Ventura: The CD-Rom Game;3;;;;Android
Aces High III;;;;;Android
Aces of the Galaxy;1;;;;Android
Aces of the Luftwaffe;10.5;;;;Android
Aces of the Pacific;;;;;Android
Aces of the Pacific - WWII: 1946 - Expansion Disk;;;;;Android
Aces of War;;;;;Android
Aces Wild: Manic Brawling Action!;2.5;;;;Android
Achievement Unlocked;0.31666666666666665;;;;Android
Achievement Unlocked 2;0.8166666666666667;;;;Android
Achievement Unlocked 3;2.5;;;;Android
Achron;70;;;;Android
Achtung Panzer: Kharkov 1943;;;;;Android
Acid Drift: Solar;;;;;Android
Acid Drop;;;;;Android
Ack-Ack Attack!;;;;;Android
Aconcagua;3.5;;;;Android
Acorn Assault: Rodent Revolution;;;;;Android
Acro Storm;;;;;Android
Acrobat Mission;0.75;;;;Android
Acrophobia;;;;;Android
Across Age DX;;;;;Android
Across The Line;;;;;Android
Across The Moment;;;;;Android
Across the Rhine;;;;;Android
AcrossFlash;;;;;Android
Act of Aggression;18.5;;;;Android
Act of War: Direct Action;13.5;;;;Android
Act of War: High Treason;;;;;Android
Action 52;;;;;Android
Action Alien;;;;;Android
Action Bass;5.5;;;;Android
Action Fighter;;;;;Android
Action Fist;;;;;Android
Action Henk;4;;;;Android
Action Man: Destruction X;;;;;Android
Action Man: Operation Extreme;;;;;Android
Action Man: Raid on Island X;;;;;Android
Action Man: Robot Atak;3;;;;Android
Action Pachio;;;;;Android
Activate the Three Artefacts and then Leave;3;;;;Android
Activision Anthology;;;;;Android
ActRaiser;4.5;;;;Android
ActRaiser 2;4.5;;;;Android
Actrazer;;;;;Android
Actua Golf 3;;;;;Android
Actua Soccer;;;;;Android
Actua Soccer 3;;;;;Android
Actua Soccer: Club Edition;;;;;Android
Actual Crimes: Jack the ripper;2;;;;Android
Actual Sunlight;1;;;;Android
Adagio;;;;;Android
Adam and Eve;;;;;Android
Adam and Eve: The Game - Chapter 1;;;;;Android
Adam Wolfe;5;;;;Android
Adam's Venture - Episode 1: The Search for the Lost Garden;1.5;;;;Android
Adam's Venture - Episode 2: Solomon's Secret;2;;;;Android
Adam's Venture - Episode 3: Revelations;2;;;;Android
Adam's Venture Chronicles;5;;;;Android
Adam's Venture: Origins;4.5;;;;Android
Addams Family Values;;;;;Android
Adera;;;;;Android
Adibou 2;5;;;;Android
Adiboud'chou Ã  la Campagne;;;;;Android
Admiral Nemo;;;;;Android
ADOM: Ancient Domains Of Mystery;;;;;Android
Adorables;;;;;Android
Adrenalin Misfits;;;;;Android
Adrenaline Adventure;;;;;Android
Adrenix;;;;;Android
Adrift;4.5;;;;Android
Advance Guardian Heroes;3;;;;Android
Advance Wars;13;;;;Android
Advance Wars 2: Black Hole Rising;27.5;;;;Android
Advance Wars: Days of Ruin;19.5;;;;Android
Advance Wars: Dual Strike;24.5;;;;Android
Advanced Dungeons & Dragons: Heroes of the Lance;;;;;Android
Advanced Dungeons & Dragons: Slayer;;;;;Android
Advanced Dungeons & Dragons: Treasure of Tarmin;7.5;;;;Android
Advanced Tactics: Gold;;;;;Android
Advanced V.G. 2;0.25;;;;Android
Advent;;;;;Android
Advent Rising;8;;;;Android
Adventure (1979);0.25;;;;Android
Adventure (1982);;;;;Android
Adventure Apes and the Mayan Mystery;;;;;Android
Adventure Bar Labyrinth;;;;;Android
Adventure Bar Story;58;;;;Android
Adventure Beyond Time: Island Escape;;;;;Android
AdVenture Capitalist;37;;;;Android
Adventure Chronicles: The Search For Lost Treasure;3;;;;Android
AdVenture Communist;2;;;;Android
Adventure Construction Set;;;;;Android
Adventure Escape: Murder Manor;;;;;Android
Adventure in the Tower of Flight;1.5;;;;Android
Adventure Island;0.9166666666666666;;;;Android
Adventure Island II;2.5;;;;Android
Adventure Island III;1.5;;;;Android
Adventure Island IV;2;;;;Android
Adventure Island: The Beginning;2;;;;Android
ADventure Lib;0.5166666666666667;;;;Android
Adventure of Poco Eco;;;;;Android
Adventure of Tokyo Disney Sea;;;;;Android
Adventure Park;5;;;;Android
