title;main_story_length;mainextra_length;completionist_length;combined_length;platform
300: March to Glory;7.5;;;;PlayStation 2
3030 Deathwar;;;;;PlayStation 2
3030 Deathwar Redux;;;;;PlayStation 2
3079;3;;;;PlayStation 2
3089;6.5;;;;PlayStation 2
35MM;4;;;;PlayStation 2
3D Chess;;;;;PlayStation 2
3D Classics: Excitebike;1.5;;;;PlayStation 2
3D Classics: Kid Icarus;4;;;;PlayStation 2
3D Dot Game Heroes;15.5;;;;PlayStation 2
3D Ecco the Dolphin;;;;;PlayStation 2
3D Fantasy Zone II W;1.5;;;;PlayStation 2
3D Galaxy Force II;0.45;;;;PlayStation 2
3D Gunstar Heroes;2;;;;PlayStation 2
3D Maze Walker;1;;;;PlayStation 2
3D Mini Golf;;;;;PlayStation 2
3D Pinball Express;;;;;PlayStation 2
3D Pinball for Windows - Space Cadet;;;;;PlayStation 2
3D Tetris;;;;;PlayStation 2
3D Tunnel;;;;;PlayStation 2
3D Ultra MiniGolf Adventures;;;;;PlayStation 2
3D Ultra MiniGolf Adventures 2;;;;;PlayStation 2
3DRPG;;;;;PlayStation 2
3rd Super Robot Wars Alpha: To the End of the Galaxy;;;;;PlayStation 2
3rd Super Robot Wars Z: Tengoku-hen;62.5;;;;PlayStation 2
3Souls;2;;;;PlayStation 2
3SwitcheD;1.5;;;;PlayStation 2
3Xtreme;0.6833333333333333;;;;PlayStation 2
4 Elements;8.5;;;;PlayStation 2
4 Elements II;6;;;;PlayStation 2
4 Pics 1 Word;;;;;PlayStation 2
4 Wheel Drive;0.6666666666666666;;;;PlayStation 2
4 Wheel Thunder;;;;;PlayStation 2
4-in-1 Fun Pak;;;;;PlayStation 2
40 Winks;6;;;;PlayStation 2
400 Years;0.31666666666666665;;;;PlayStation 2
404Sight;0.8166666666666667;;;;PlayStation 2
4089: Ghost Within;;;;;PlayStation 2
42 All-Time Classics;;;;;PlayStation 2
4D Prince of Persia;;;;;PlayStation 2
4D Sports Boxing;;;;;PlayStation 2
4D Sports Tennis;;;;;PlayStation 2
4PM;0.43333333333333335;;;;PlayStation 2
4V4 Arashi Get The Goal;;;;;PlayStation 2
4x4 Dream Race;;;;;PlayStation 2
4x4 EVO 2;;;;;PlayStation 2
4x4 Evolution;12.5;;;;PlayStation 2
4x4 Hummer;7;;;;PlayStation 2
5 Days a Stranger;3;;;;PlayStation 2
5 Minutes Rage;;;;;PlayStation 2
50 Cent: Blood on the Sand;6;;;;PlayStation 2
50 Cent: Bulletproof;6;;;;PlayStation 2
50 years;;;;;PlayStation 2
500 Years: Act 1;;;;;PlayStation 2
5089: The Action RPG;;;;;PlayStation 2
6 Day Assassin;0.25;;;;PlayStation 2
6 Days a Sacrifice;3;;;;PlayStation 2
6 Degrees of Sabotage;0.08333333333333333;;;;PlayStation 2
60 Seconds Burger Run;0.08333333333333333;;;;PlayStation 2
60 Seconds Santa Run;0.25;;;;PlayStation 2
60 Seconds!;2;;;;PlayStation 2
6180 the moon;1;;;;PlayStation 2
64.0;;;;;PlayStation 2
688(I) Hunter/Killer;9.5;;;;PlayStation 2
69 Ways to Kill a Zombie;;;;;PlayStation 2
7 Blades;;;;;PlayStation 2
7 Days a Skeptic;3;;;;PlayStation 2
7 Days to Die;30;;;;PlayStation 2
7 Dni a 7 noci;;;;;PlayStation 2
7 Grand Steps, Step 1: What Ancients Begat;8;;;;PlayStation 2
7 Mages;;;;;PlayStation 2
7 Sins;10;;;;PlayStation 2
7 Wonders II;6;;;;PlayStation 2
7 Wonders of the Ancient World;7;;;;PlayStation 2
7 Wonders: Ancient Alien Makeover;8;;;;PlayStation 2
7 Wonders: Magical Mystery Tour;7;;;;PlayStation 2
7 Wonders: Treasures of Seven;7;;;;PlayStation 2
7,62 High Calibre;;;;;PlayStation 2
7.62mm;;;;;PlayStation 2
720 Degrees;;;;;PlayStation 2
7554;7;;;;PlayStation 2
7D Game;;;;;PlayStation 2
7th Dragon;35;;;;PlayStation 2
7th Dragon 2020;34;;;;PlayStation 2
7th Dragon 2020-II;;;;;PlayStation 2
7th Dragon III Code: VFD;32;;;;PlayStation 2
7th Legion;;;;;PlayStation 2
8 Ball Pool Multiplayer;;;;;PlayStation 2
8 Eyes;2.5;;;;PlayStation 2
8-Bit Adventures: The Forgotten Journey;;;;;PlayStation 2
8-bit Armies;;;;;PlayStation 2
8-Bit Armies: Arena;;;;;PlayStation 2
8-Bit Bayonetta;0.2833333333333333;;;;PlayStation 2
8-Bit Commando;0.8666666666666667;;;;PlayStation 2
8-bit Hordes;;;;;PlayStation 2
8-Bit Invaders!;25;;;;PlayStation 2
8-Bit Killer;;;;;PlayStation 2
8-bit Mario World - Desert Mario;0.08333333333333333;;;;PlayStation 2
80 Days;3;;;;PlayStation 2
80 Days: Around the World Adventure;8;;;;PlayStation 2
868-HACK;2;;;;PlayStation 2
88 Heroes;;;;;PlayStation 2
8Ball Allstars;;;;;PlayStation 2
8Bit Fiesta;2;;;;PlayStation 2
8BitBoy;4.5;;;;PlayStation 2
8BitMMO;;;;;PlayStation 2
8DAYS;;;;;PlayStation 2
8i;;;;;PlayStation 2
8infinity;;;;;PlayStation 2
9 Clues 2: The Ward;3;;;;PlayStation 2
9 Clues: The Secret of Serpent Creek;2.5;;;;PlayStation 2
9.03m;;;;;PlayStation 2
90 Minute Fever;;;;;PlayStation 2
90 Minutes;;;;;PlayStation 2
911 Operator;8.5;;;;PlayStation 2
99 Levels to Hell;8;;;;PlayStation 2
99 Waves to Die;;;;;PlayStation 2
999: Nine Hours, Nine Persons, Nine Doors;9.5;;;;PlayStation 2
99Vidas;2.5;;;;PlayStation 2
9:05;0.25;;;;PlayStation 2
9th Company: Roots of Terror;4;;;;PlayStation 2
9th Dawn;;;;;PlayStation 2
:the game:;0.4166666666666667;;;;PlayStation 2
A Bastard's Tale;;;;;PlayStation 2
A Bird Story;;;;;PlayStation 2
A Blind Legend;2;;;;PlayStation 2
A Box Full Of Joy;;;;;PlayStation 2
A Boy and His Blob;9;;;;PlayStation 2
A Boy and His Blob: Trouble on Blobolonia;0.8666666666666667;;;;PlayStation 2
A Bug's Life;5.5;;;;PlayStation 2
A Bug's Life (GBC);3;;;;PlayStation 2
A Camp in the Woods;;;;;PlayStation 2
A Chair in a Room: Greenwater;2;;;;PlayStation 2
A City Sleeps;1;;;;PlayStation 2
A Collection of Activision Classic Games for the Atari 2600;;;;;PlayStation 2
A Cosmic Forest;;;;;PlayStation 2
A Dark Room;3.5;;;;PlayStation 2
A Date in the Park;0.6166666666666667;;;;PlayStation 2
A Dead World's Dream;;;;;PlayStation 2
A Demon's Game - Episode 1;;;;;PlayStation 2
