title;main_story_length;mainextra_length;completionist_length;combined_length;platform
A Mind Forever Voyaging;;;;;Xbox
A Mortician's Tale;0.9666666666666667;;;;Xbox
A Mother's Inferno;0.25;;;;Xbox
A Mysterious Thief;;;;;Xbox
A Nation of Wind;;;;;Xbox
A New Beginning;9;;;;Xbox
A New Reckoning;0.25;;;;Xbox
A Nightmare on Elm Street;2;;;;Xbox
A Noble Circle;0.25;;;;Xbox
A Normal Lost Phone;1.5;;;;Xbox
A Number's life;;;;;Xbox
A Pixel Story;;;;;Xbox
A Princess' Tale;;;;;Xbox
A Quiver of Crows;;;;;Xbox
A Robot Named Fight!;;;;;Xbox
A Rose in the Twilight;;;;;Xbox
A Second Face;2.5;;;;Xbox
A Sirius Game;;;;;Xbox
A Sound of Thunder;4;;;;Xbox
A Space Shooter For Two Bucks!;5.5;;;;Xbox
A Step Into Darkness;;;;;Xbox
A Story About My Uncle;3;;;;Xbox
A Stroke of Fate: Operation Bunker;;;;;Xbox
A Stroke of Fate: Operation Valkyrie;7;;;;Xbox
A Study in Steampunk: Choice by Gaslight;;;;;Xbox
A Sweet Meeting;;;;;Xbox
A tale about life, death and a looser;;;;;Xbox
A Tale of Caos: Overture;;;;;Xbox
A Tale of Two Kingdoms;;;;;Xbox
A Trip to Yugoslavia;;;;;Xbox
A Truth to be Told;;;;;Xbox
A Valley Without Wind;16.5;;;;Xbox
A Valley Without Wind 2;9.5;;;;Xbox
A Vampyre Story;7.5;;;;Xbox
A Verdant Hue;;;;;Xbox
A Virus Named Tom;4;;;;Xbox
A Walk in the Dark;3;;;;Xbox
A Way Out;;;;;Xbox
A Week of Circus Terror;;;;;Xbox
A Week of Garfield;1.5;;;;Xbox
A Wild Catgirl Appears!;0.95;;;;Xbox
A Wise Use of Time;5;;;;Xbox
A Witch's Tale;16;;;;Xbox
A Wizard's Lizard;1.5;;;;Xbox
A Wizard's Odyssey;;;;;Xbox
A Wolf in Autumn;0.6666666666666666;;;;Xbox
A World of Keflings;7;;;;Xbox
A World of Keflings - It Came From Outer Space;;;;;Xbox
A World of Keflings - Sugar, Spice and Not So Nice;;;;;Xbox
A World of Keflings - The Curse of the Zombiesaurus;;;;;Xbox
A*M*E*R*I*C*A;;;;;Xbox
A-10 Tank Killer;;;;;Xbox
A-10 VR;;;;;Xbox
A-Gents;;;;;Xbox
A-Men;9;;;;Xbox
A-Men 2;14;;;;Xbox
A-Train;;;;;Xbox
A-Train 3D: City Simulator;;;;;Xbox
A-Train 6;;;;;Xbox
A-Train 8;;;;;Xbox
A-Train 9;;;;;Xbox
A-Train 9 V4.0: Japan Rail Simulator;;;;;Xbox
A-Train HX;;;;;Xbox
A.D. 2044;;;;;Xbox
A.I. Invasion;;;;;Xbox
A.I. Space Corps;;;;;Xbox
A.I.M. Racing;14;;;;Xbox
A.I.M.2 Clan Wars;;;;;Xbox
A.R.C. Squadron;3;;;;Xbox
A.R.E.S. Extinction Agenda EX;4;;;;Xbox
A.R.E.S.: Extinction Agenda;2;;;;Xbox
A.V.A: Alliance of Valiant Arms;;;;;Xbox
A.V.G.M.;0.5;;;;Xbox
A.W.: Phoenix Festa;4;;;;Xbox
A/X-101;1;;;;Xbox
A2 Racer III - Europa Tour;;;;;Xbox
A2Be;;;;;Xbox
